agent,step,total_games,alive_games,survival_probability
expectimax,643,3000,2419,0.8063333333333333
expectimax,644,3000,2417,0.8056666666666666
expectimax,645,3000,2413,0.8043333333333333
expectimax,646,3000,2411,0.8036666666666666
expectimax,647,3000,2408,0.8026666666666666
expectimax,648,3000,2406,0.802
expectimax,649,3000,2401,0.8003333333333333
expectimax,650,3000,2396,0.7986666666666666
expectimax,651,3000,2393,0.7976666666666666
expectimax,652,3000,2390,0.7966666666666666
expectimax,653,3000,2384,0.7946666666666666
expectimax,654,3000,2381,0.7936666666666666
expectimax,655,3000,2372,0.7906666666666666
expectimax,656,3000,2367,0.789
expectimax,657,3000,2365,0.7883333333333333
expectimax,658,3000,2360,0.7866666666666666
expectimax,659,3000,2355,0.785
expectimax,660,3000,2346,0.782
expectimax,661,3000,2344,0.7813333333333333
expectimax,662,3000,2338,0.7793333333333333
expectimax,663,3000,2327,0.7756666666666666
expectimax,664,3000,2319,0.773
expectimax,665,3000,2314,0.7713333333333333
expectimax,666,3000,2306,0.7686666666666667
expectimax,667,3000,2298,0.766
expectimax,668,3000,2289,0.763
expectimax,669,3000,2282,0.7606666666666667
expectimax,670,3000,2272,0.7573333333333333
expectimax,671,3000,2265,0.755
expectimax,672,3000,2255,0.7516666666666667
expectimax,673,3000,2249,0.7496666666666667
expectimax,674,3000,2243,0.7476666666666667
expectimax,675,3000,2235,0.745
expectimax,676,3000,2226,0.742
expectimax,677,3000,2217,0.739
expectimax,678,3000,2204,0.7346666666666667
expectimax,679,3000,2197,0.7323333333333333
expectimax,680,3000,2188,0.7293333333333333
expectimax,681,3000,2180,0.7266666666666667
expectimax,682,3000,2174,0.7246666666666667
expectimax,683,3000,2167,0.7223333333333334
expectimax,684,3000,2165,0.7216666666666667
expectimax,685,3000,2163,0.721
expectimax,686,3000,2155,0.7183333333333334
expectimax,687,3000,2149,0.7163333333333334
expectimax,688,3000,2143,0.7143333333333334
expectimax,689,3000,2137,0.7123333333333334
expectimax,690,3000,2129,0.7096666666666667
expectimax,691,3000,2128,0.7093333333333334
expectimax,692,3000,2123,0.7076666666666667
expectimax,693,3000,2117,0.7056666666666667
expectimax,694,3000,2112,0.704
expectimax,695,3000,2108,0.7026666666666667
expectimax,696,3000,2104,0.7013333333333334
expectimax,697,3000,2101,0.7003333333333334
expectimax,698,3000,2098,0.6993333333333334
expectimax,699,3000,2095,0.6983333333333334
expectimax,700,3000,2093,0.6976666666666667
expectimax,701,3000,2091,0.697
expectimax,702,3000,2091,0.697
expectimax,703,3000,2090,0.6966666666666667
expectimax,704,3000,2086,0.6953333333333334
expectimax,705,3000,2084,0.6946666666666667
expectimax,706,3000,2084,0.6946666666666667
expectimax,707,3000,2083,0.6943333333333334
